kahveci,ürün_adı,içerik,boyut_seçenekleri,alerjenler,içerik_listesi
Gloria Jean’s,Caffé Americano,Espresso+Su,Small/Regular/Large,Yok,"Espresso shot, sıcak su"
Gloria Jean’s,Café Au Lait,Espresso+Süt,Small/Regular/Large,Süt,"GJ espresso, %2 süt"
Gloria Jean’s,Café Breve,Espresso+Half&Half,Small/Regular/Large,Süt,"Espresso, krema-süt karışımı"
Gloria Jean’s,Café Mocha,Espresso+Süt+Çikolata,Small/Regular/Large,Süt;Soya,"Espresso, %2 süt, mocha sos (soya lesitini içerir)"
Gloria Jean’s,Cappuccino,Espresso+Süt+Köpük,Small/Regular/Large,Süt,"Espresso, %2 süt, süt köpüğü"
Gloria Jean’s,Caramel Latte,Espresso+Süt+Karamel Şurup,Small/Regular/Large,Süt;Soya,"Espresso, %2 süt, karamel şurubu"
Gloria Jean’s,Chai Latte,Chai Çayı+Süt,Small/Regular/Large,Süt,"Chai çayı karışımı, %2 süt"
Gloria Jean’s,Hot Cocoa,Sıcak Çikolata+Süt,Small/Regular/Large,Süt;Soya,"Sıcak su, cocoa tozu, %2 süt, kakao sos"
Gloria Jean’s,White Hot Chocolate,Sıcak Beyaz Çikolata+Süt,Small/Regular/Large,Süt;Soya,"Sıcak su, beyaz çikolata sos, %2 süt"
Gloria Jean’s,Madagascar Vanilla Latte,Espresso+Süt+Vanilla Powder,Small/Regular/Large,Süt;Soya,"Espresso, %2 süt, Madagascar Vanilla tozu"
Gloria Jean’s,Mocha Caramel Latte,Espresso+Süt+Çikolata+Karamel,Small/Regular/Large,Süt;Soya,"Espresso, %2 süt, mocha sos, karamel sos"
Gloria Jean’s,White Chocolate Caramel Latte,Espresso+Süt+Beyaz Çikolata+Karamel,Small/Regular/Large,Süt;Soya,"Espresso, %2 süt, beyaz çikolata sos, karamel sos"
Gloria Jean’s,White Chocolate Mocha Latte,Espresso+Süt+Beyaz Çikolata+Çikolata,Small/Regular/Large,Süt;Soya,"Espresso, %2 süt, beyaz çikolata sos, mocha sos"
Gloria Jean’s,Iced Coffee,Soğuk Filtre Kahve+Buz,Small/Regular/Large,Yok,"Demlenmiş filtre kahve, buz"
Gloria Jean’s,Iced Café Au Lait,Espresso+Soğuk Süt+Buz,Small/Regular/Large,Süt,"Espresso, soğuk %2 süt, buz"
Gloria Jean’s,Iced Cappuccino,Espresso+Soğuk Süt+Köpük+Buz,Small/Regular/Large,Süt,"Espresso, soğuk %2 süt, köpük, buz"
Gloria Jean’s,Iced Latte,Espresso+Soğuk Süt+Buz,Small/Regular/Large,Süt,"Espresso, soğuk %2 süt, buz"
Gloria Jean’s,Iced Mocha,Espresso+Soğuk Süt+Çikolata Sos+Buz,Small/Regular/Large,Süt;Soya,"Espresso, soğuk %2 süt, mocha sos, buz"
Gloria Jean’s,Nitro Cold Brew,Cold Brew,Small/Regular/Large,Yok,"Nitro-infused soğuk demlenmiş kahve"
Gloria Jean’s,Berry Hibiscus Chiller,Hibiscus çayı+Ice Cream mix,Small/Regular/Large,Süt,"Island Oasis mix, %2 süt, hibiscus çayı"
Gloria Jean’s,Chocolate Avalanche Chiller,Kahve+Süt+Çikolata+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, chocolate powder, krema"
Gloria Jean’s,Chocolate Caramel Turtle Chiller,Kahve+Süt+Çikolata+Karamel+Pekan,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler,"GJ espresso, %2 süt, chocolate powder, caramel pecan syrup, krema"
Gloria Jean’s,Coco Loco Chiller,Kahve+Süt+Çikolata+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, chocolate fudge powder, krema"
Gloria Jean’s,Cookie Crumble Chiller,Kahve+Süt+Oreo+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler,"GJ espresso, %2 süt, Madagascar Vanilla powder, Oreo, krema"
Gloria Jean’s,Cookies N' Cream Chiller,Kahve+Süt+Oreo+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler,"GJ espresso, %2 süt, chocolate powder, Oreo, krema"
Gloria Jean’s,English Toffee Twist Chiller,Kahve+Süt+Toffee+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler;Gluten,"GJ espresso, %2 süt, toffee pecan syrup, krema"
Gloria Jean’s,Horchata Café Chiller,Kahve+Süt+Tarçın+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler,"GJ espresso, %2 süt, cinnamon syrup, pecan syrup, krema"
Gloria Jean’s,Horchata Chocolate Chiller,Çikolata+Süt+Tarçın+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler,"Chocolate version of Horchata, %2 süt, cinnamon, pecan, krema"
Gloria Jean’s,Horchata Classic Chiller,Süt+Tarçın+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler,"Base horchata mix, %2 süt, cinnamon, pecan syrup, krema"
Gloria Jean’s,Madagascar Vanilla Caramel Chiller,Kahve+Süt+Vanilla+Karamel+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, Vanilla powder, caramel syrup, krema"
Gloria Jean’s,Mint Chocolate Bomb Chiller,Kahve+Süt+Nane+Çikolata+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, mint syrup, chocolate powder, krema"
Gloria Jean’s,Mocha Voltage Chiller,Kahve+Süt+Çikolata+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, chocolate powder, caramel pecan syrup, krema"
Gloria Jean’s,Mocha Coconut Chiller,Kahve+Süt+Çikolata+Hindistancevizi+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, coconut powder, coffee, krema"
Gloria Jean’s,Pistachio Crème Chiller,Kahve+Süt+Pistachio+Krema,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler;Gluten,"GJ espresso, %2 süt, pistachio mix, krema"
Gloria Jean’s,Raspberry Dazzle Chiller,Kahve+Süt+Frambuaz+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, raspberry mix, krema"
Gloria Jean’s,Ultimate Chocolate Chiller,Kahve+Süt+Çikolata+Krema,Small/Regular/Large,Süt;Soya,"GJ espresso, %2 süt, chocolate powder, krema"
Gloria Jean’s,Ultimate Cookie Espresso Chiller,Kahve+Süt+Oreo+Krema+Espresso shot,Small/Regular/Large,Süt;Soya;Sert Kabuklu Meyveler;Gluten,"GJ espresso, %2 süt, Oreo, krema, ekstra espresso"
