kahveci,ürün_adı,içerik,boyut_seçenekleri,alerjenler,içerik_listesi
Mikel,Espresso Classic,Espresso,Single/Double,Yok,"Taze çekilmiş espresso"
Mikel,Espresso Classic with Whipped Cream,Espresso+Krema,Single,Süt,"Espresso shot, çırpılmış krema"
Mikel,Espresso Ristretto,Espresso,Single,Yok,"Yoğunlaştırılmış kısa shot"
Mikel,Espresso Lungo,Espresso,Single,Yok,"Uzun demleme espresso"
Mikel,Espresso Macchiato,Espresso+Az Süt,Single,Süt,"Espresso shot, süt köpüğü"
Mikel,Espresso Mikelo,Espresso+Süt,Single,Süt,"Espresso shot, tam yağlı süt"
Mikel,Espresso Café au Lait,Espresso+Süt,Single,Süt,"Espresso shot, eşit oran süt"
Mikel,Espresso Affogato,Espresso+Dondurma+Krema,Single,Süt;Soya;Gluten,"Espresso, vanilyalı dondurma, krema"
Mikel,Espresso Corretto,Espresso+Likör,Single,Yok,"Espresso shot, likör"
Mikel,Espresso Americano,Espresso+Su,Single,Yok,"Espresso shot, sıcak su"
Mikel,Cappuccino Classic,Espresso+Süt+Köpük,Single/Double,Süt,"Espresso, tam yağlı süt, köpük"
Mikel,Cappuccino Classic with Whipped Cream,Espresso+Krema,Single,Süt,"Espresso shot, çırpılmış krema"
Mikel,Cappuccino Flat White,Espresso+Süt,Single,Süt,"Espresso ristretto, süt"
Mikel,Cappuccino Mocha,Espresso+Süt+Çikolata Sos,Single,Süt;Soya,"Espresso, süt, mocha çikolata sos"
Mikel,Cappuccino Affogato,Espresso+Süt+Dondurma+Krema,Single,Süt;Soya;Gluten,"Espresso, süt, dondurma, krema"
Mikel,Toffee Latte,Espresso+Süt+Toffee Sos,Single,Süt;Soya,"Espresso, süt, toffee sos"
Mikel,Filter Coffee,Filtre Kahve,Single,Yok,"Taze demlenmiş filtre kahve"
Mikel,Greek Coffee,Turkish Coffee,Single,Yok,"Türk kahvesi"
Mikel,Flat White,Espresso+Süt,Single,Süt,"Ristretto, süt"
Mikel,Mocha,Espresso+Süt+Çikolata Sos,Single,Süt;Soya,"Espresso, süt, mocha sos"
Mikel,White Mocha,Espresso+Süt+Beyaz Çikolata Sos,Single,Süt;Soya,"Espresso, süt, beyaz çikolata sos"
Mikel,Mikeloccino,Espresso+Süt+Krema,Single,Süt;Soya,"Espresso, süt, krema"
Mikel,Mexican Coffee,Espresso+Süt+Tarçın+Krema,Single,Süt;Soya,"Espresso, süt, tarçın, krema"
Mikel,Hot Chocolate,Çikolata+Süt,Single,Süt;Soya,"Sıcak süt, çikolata karışımı"
Mikel,Chocolate Viennois,Çikolata+Süt+Krema,Single,Süt;Soya,"Sıcak çikolata, krema"
Mikel,White Chocolate (hot),Beyaz Çikolata+Süt,Single,Süt;Soya,"Beyaz çikolata sos, süt"
Mikel,Cocoa,Çikolata+Su veya Süt,Single,Süt,"Kakao tozu, su veya süt"
Mikel,Cold Chocolate,Çikolata+Süt+Buz,Single,Süt;Soya,"Soğuk süt, çikolata sos, buz"
Mikel,White Chocolate (cold),Beyaz Çikolata+Süt+Buz,Single,Süt;Soya,"Beyaz çikolata sos, süt, buz"
Mikel,Greek Frappe,Turkish Coffee+Buz,Single,Yok,"Soğuk Türk kahvesi, buz"
Mikel,Frappe,Instant Kahve+Süt+Buz,Single,Süt;Soya,"Nescafé, süt, buz"
Mikel,Milkshake with Flavors,Dondurma+Süt+Şurup,Single,Süt,"Vanilyalı dondurma, süt, aroma şurubu"
Mikel,Smoothie with Flavors,Meyve+Yoğurt/Süt,Single,Süt,"Meyve, yoğurt veya süt"
Mikel,Juice with Flavors,Meyve+Su,Single,Yok,"Taze meyve suyu, su"
Mikel,Cold Tea with Flavors,Soğuk Çay+Şurup,Single,Yok,"Soğuk çay, aroma şurubu"
Mikel,Water Ice with Flavors,Meyve+Buz+Su,Single,Yok,"Meyve parçaları, buz, su"
