kahveci,ürün_adı,içerik,boyut_seçenekleri,alerjenler,içerik_listesi
Starbucks,Espresso,Espresso,Single/Double,Yok,"Tek shot espresso kahve çekirdeği"
Starbucks,Doppio Espresso,Espresso,Single,Yok,"İki shot espresso kahve çekirdeği"
Starbucks,Espresso Macchiato,Espresso + Az Süt,Single/Double,Süt,"Espresso shot, küçük miktarda tam yağlı süt köpüğü"
Starbucks,Espresso Con Panna,Espresso + Krema,Single/Double,Süt,"Espresso shot, çırpılmış krema"
Starbucks,Caffè Americano,Espresso + Sıcak Su,Short/Tall/Grande/Venti,Yok,"Espresso shot, sıcak su"
Starbucks,Caffè Latte,Espresso + Süt,Short/Tall/Grande/Venti,Süt,"Espresso shot, tam yağlı süt, az köpük"
Starbucks,Cappuccino,Espresso + Süt + Köpük,Short/Tall/Grande/Venti,Süt,"Espresso shot, tam yağlı süt, yoğun süt köpüğü"
Starbucks,Flat White,Espresso + Mikroköpüklü Süt,Short/Tall/Grande/Venti,Süt,"İki shot ristretto espresso, tam yağlı süt, mikroköpük"
Starbucks,Caffè Mocha,Espresso + Süt + Çikolata Sos,Short/Tall/Grande/Venti,Süt,"Espresso shot, tam yağlı süt, mocha çikolata sos"
Starbucks,White Chocolate Mocha,Espresso + Süt + Beyaz Çikolata Sos,Short/Tall/Grande/Venti,Süt,"Espresso shot, tam yağlı süt, beyaz çikolata sos"
Starbucks,Caramel Macchiato,Espresso + Süt + Karamel Sos,Short/Tall/Grande/Venti,Süt,"Espresso shot, buharla ısıtılmış süt, vanilyalı şurup, karamel sos"
Starbucks,Spanish Latte,Espresso + Yoğun Süt + Tatlı Aroma,Short/Tall/Grande/Venti,Süt,"Espresso shot, yoğunlaştırılmış süt, aroma şurubu"
Starbucks,Hot Chocolate,Süt + Kakaolu Sos,Short/Tall/Grande/Venti,Süt,"Tam yağlı süt, mocha şurubu veya klasik sıcak çikolata karışımı, krem şanti (isteğe bağlı)"
Starbucks,Chai Tea Latte,Çay + Baharat + Süt,Short/Tall/Grande/Venti,Süt,"Siyah çay, chai baharat karışımı, tam yağlı süt"
Starbucks,Matcha Latte,Matcha Tozu + Süt,Short/Tall/Grande/Venti,Süt,"Japon matcha tozu, tam yağlı süt"
Starbucks,Iced Latte,Espresso + Soğuk Süt + Buz,Tall/Grande/Venti,Süt,"Espresso shot, soğuk tam yağlı süt, buz"
Starbucks,Iced Americano,Espresso + Soğuk Su + Buz,Tall/Grande/Venti,Yok,"Espresso shot, soğuk su, buz"
Starbucks,Iced Mocha,Espresso + Soğuk Süt + Çikolata Sos + Buz,Tall/Grande/Venti,Süt,"Espresso shot, soğuk tam yağlı süt, mocha çikolata sos, buz"
Starbucks,Iced Caramel Macchiato,Espresso + Soğuk Süt + Karamel Sos + Buz,Tall/Grande/Venti,Süt,"Espresso shot, soğuk tam yağlı süt, karamel sos, buz"
Starbucks,Iced White Chocolate Mocha,Espresso + Soğuk Süt + Beyaz Çikolata Sos + Buz,Tall/Grande/Venti,Süt,"Espresso shot, soğuk tam yağlı süt, beyaz çikolata sos, buz"
Starbucks,Iced Chai Tea Latte,Chai + Soğuk Süt + Buz,Tall/Grande/Venti,Süt,"Chai karışımı, soğuk tam yağlı süt, buz"
Starbucks,Coffee Frappuccino,Kahve + Süt + Buz,Short/Tall/Grande/Venti,Süt,"Öğütülmüş kahve, tam yağlı süt, buz karışımı"
Starbucks,Mocha Frappuccino,Kahve + Süt + Çikolata Sos + Buz,Short/Tall/Grande/Venti,Süt,"Öğütülmüş kahve, tam yağlı süt, mocha sos, buz, çırpılmış krema"
Starbucks,Caramel Frappuccino,Kahve + Süt + Karamel Sos + Buz,Short/Tall/Grande/Venti,Süt,"Öğütülmüş kahve, tam yağlı süt, karamel sos, buz, çırpılmış krema"
Starbucks,White Chocolate Mocha Frappuccino,Kahve + Süt + Beyaz Çikolata Sos + Buz,Short/Tall/Grande/Venti,Süt,"Öğütülmüş kahve, tam yağlı süt, beyaz çikolata sos, buz, çırpılmış krema"
Starbucks,Java Chip Frappuccino,Kahve + Süt + Çikolata Parçaları + Buz,Short/Tall/Grande/Venti,Süt,"Öğütülmüş kahve, tam yağlı süt, çikolata parçaları, buz, krema"
Starbucks,Berry Hibiscus Refresher,Hibiscus Çayı + Meyve + Su + Buz,Tall/Grande/Venti,Yok,"Hibiscus çayı özü, böğürtlen aroması, su, buz"
Starbucks,Mango Dragonfruit Refresher,Mango + Ejder Meyvesi + Su + Buz,Tall/Grande/Venti,Yok,"Mango suy̆u, ejder meyvesi parçacıkları, su, buz"
