kahve_adi,kategori,fiyat,aciklama,ozellikler,boyut_secenekleri
Americano,espresso,25.50,"Espresso ve sıcak su karışımı, sade ve güçlü","guclu,sicak,sade","Tall,Grande,Venti"
Espresso,espresso,18.00,"Klasik İtalyan espresso, yoğun ve aromalı","guclu,sicak,sade","Single,Double"
Pike Place Roast,filtre,22.00,"Starbucks'ın imza filtre kahvesi, yumuşak ve dengeli","hafif,sicak,sade","Tall,Grande,Venti"
French Roast,filtre,24.00,"Koyu kavrulmuş, güçlü filtre kahve","guclu,sicak,sade","Tall,Grande,Venti"
Cappuccino,sutlu,28.50,"Espresso, buharda ısıtılmış süt ve kalın köpük","hafif,sicak","Tall,Grande,Venti"
Caffè Latte,sutlu,30.00,"Espresso ve bol miktarda buharda ısıtılmış süt","hafif,sicak","Tall,Grande,Venti"
Caramel Macchiato,sutlu,35.50,"Vanilya aromalı süt, espresso ve karamel sos","tatli,sicak","Tall,Grande,Venti"
Flat White,sutlu,32.00,"Güçlü espresso ve mikro-köpük süt","guclu,sicak","Tall,Grande"
White Chocolate Mocha,tatli,38.00,"Espresso, beyaz çikolata sosu ve süt","tatli,sicak","Tall,Grande,Venti"
Java Chip Frappuccino,tatli,42.50,"Çikolata parçacıklı buzlu kahve içeceği","tatli,soguk","Tall,Grande,Venti"
Caramel Frappuccino,tatli,40.00,"Karamelli buzlu kahve içeceği","tatli,soguk","Tall,Grande,Venti"
Cold Brew,soguk,26.00,"Soğuk suyla 20 saat demlenen yumuşak kahve","hafif,soguk,sade","Tall,Grande,Venti"
Iced Americano,soguk,27.50,"Buzlu Americano, serinletici ve güçlü","guclu,soguk,sade","Tall,Grande,Venti"
Iced Latte,soguk,32.00,"Buzlu latte, yumuşak ve kremsi","hafif,soguk","Tall,Grande,Venti"
Pumpkin Spice Latte,tatli,39.00,"Balkabağı baharatlı latte, sonbahar klasiği","tatli,sicak","Tall,Grande,Venti"
Turkish Coffee,ozel,35.00,"Geleneksel Türk kahvesi, yoğun ve aromatik","guclu,sicak,sade","Küçük"
